날짜,시간,시가,고가,저가,종가,거래량,거래대금
2023-07-03,0901,254000,254000,253000,253000,23479,5957204000
2023-07-03,0902,252500,253000,251000,252000,8614,2168523000
2023-07-03,0903,251500,253000,251500,253000,9403,2372602000
2023-07-03,0904,252500,254500,252000,253000,13824,3505482000
2023-07-03,0905,253500,253500,251500,253000,10999,2777968000
2023-07-03,0906,253000,253000,251500,252000,6051,1526727000
2023-07-03,0907,252000,252000,251500,251500,5759,1448953000
2023-07-03,0908,251500,252000,251500,251500,3488,877352000
2023-07-03,0909,251500,252000,250500,251000,6901,1732865000
2023-07-03,0910,251000,252000,250500,251500,11004,2761525000
2023-07-03,0911,252000,252000,251500,252000,6107,1538202000
2023-07-03,0912,252000,252500,251500,252000,3070,773610000
2023-07-03,0913,252000,252500,251500,251500,3324,837653000
2023-07-03,0914,252000,252000,251500,252000,1652,416152000
2023-07-03,0915,252000,253500,251500,253500,5268,1331916000
2023-07-03,0916,253500,254000,253000,254000,4126,1046914000
2023-07-03,0917,254000,254500,253500,254000,6526,1657372000
2023-07-03,0918,254500,254500,254000,254500,2034,517068000
2023-07-03,0919,254000,254500,253500,254500,7270,1845690000
2023-07-03,0920,254500,254500,254000,254000,2255,572970000
2023-07-03,0921,254500,255000,254000,254500,8243,2097573000
2023-07-03,0922,255000,255500,254500,255000,14439,3683042000
2023-07-03,0923,255000,255500,254500,255000,2480,632500000
2023-07-03,0924,255500,255500,254500,255000,2310,589134000
2023-07-03,0925,255000,255500,254500,254500,3734,951725000
2023-07-03,0926,255000,255000,254500,254500,1722,438672000
2023-07-03,0927,255000,255000,254000,254500,2196,558621000
2023-07-03,0928,254000,254500,254000,254000,2062,524051000
2023-07-03,0929,254500,255000,254000,254500,3425,871499000
2023-07-03,0930,255000,255500,254500,255000,4551,1160804000
2023-07-03,0931,255500,255500,255000,255000,2406,614263000
2023-07-03,0932,255500,256500,255000,256000,8744,2236729000
2023-07-03,0933,256500,256500,255500,255500,4600,1177038000
2023-07-03,0934,255500,255500,255000,255500,1427,364459000
2023-07-03,0935,255500,256000,255000,255500,2614,667907000
2023-07-03,0936,255500,255500,255000,255500,964,246205000
2023-07-03,0937,255000,255500,254500,254500,3170,807997000
2023-07-03,0938,255000,255000,254000,254500,2294,583734000
2023-07-03,0939,254000,254500,254000,254500,977,248308000
2023-07-03,0940,254000,254500,254000,254000,3077,781729000
2023-07-03,0941,254500,254500,253500,254000,3855,979384000
2023-07-03,0942,254000,254500,253500,254000,2666,677136000
2023-07-03,0943,254000,254000,253000,253000,3366,853271000
2023-07-03,0944,253000,253500,253000,253500,2109,533788000
2023-07-03,0945,253000,253500,253000,253500,1360,344196000
2023-07-03,0946,253000,253500,252500,253000,5731,1450168000
2023-07-03,0947,253000,253500,253000,253000,1898,480325000
2023-07-03,0948,253000,253500,253000,253500,1685,426638000
2023-07-03,0949,253000,253500,252500,252500,1524,385620000
2023-07-03,0950,253000,253000,252500,253000,1019,257567000
2023-07-03,0951,253000,253000,252500,252500,610,154290000
2023-07-03,0952,252500,253000,252500,252500,754,190475000
2023-07-03,0953,252500,253000,252500,253000,677,171078000
2023-07-03,0954,252500,253000,252500,252500,2673,675116000
2023-07-03,0955,252500,253000,252500,253000,536,135395000
2023-07-03,0956,252500,254000,252500,254000,6828,1728372000
2023-07-03,0957,254000,254500,253500,254500,4208,1069337000
2023-07-03,0958,254500,255000,254000,254500,3139,798668000
2023-07-03,0959,254500,255500,254500,255000,4763,1214736000
2023-07-03,1000,255500,255500,255000,255500,1094,279148000
2023-07-03,1001,255500,255500,255000,255000,2199,560973000
2023-07-03,1002,255000,255500,255000,255500,1062,271005000
2023-07-03,1003,255000,256000,255000,255500,7012,1791524000
2023-07-03,1004,256000,256500,255500,256000,4793,1227247000
2023-07-03,1005,256000,256500,255500,256500,4630,1185019000
2023-07-03,1006,256000,256500,256000,256500,3597,921313000
2023-07-03,1007,256500,256500,256000,256000,3826,980699000
2023-07-03,1008,256500,257500,256000,257500,14035,3604976000
2023-07-03,1009,257500,258000,257000,258000,7662,1973212000
2023-07-03,1010,258000,258000,257500,258000,4773,1230968000
2023-07-03,1011,258000,258500,257500,258500,5249,1354665000
2023-07-03,1012,258500,258500,258000,258500,3467,896115000
2023-07-03,1013,258500,259000,258000,259000,2340,605159000
2023-07-03,1014,259000,259500,258500,258500,11248,2912651000
2023-07-03,1015,258500,259000,257500,258500,5598,1445807000
2023-07-03,1016,258500,259000,258500,259000,2487,643762000
2023-07-03,1017,259000,259000,257500,258000,8821,2280817000
2023-07-03,1018,258000,258500,257500,258500,3222,831472000
2023-07-03,1019,258000,259000,258000,258500,1987,513676000
2023-07-03,1020,258500,258500,257500,258500,2099,541780000
2023-07-03,1021,258500,258500,257500,258000,2346,605413000
2023-07-03,1022,258000,258000,257500,257500,2308,595167000
2023-07-03,1023,257500,258000,257500,257500,891,229577000
2023-07-03,1024,257500,258000,257000,257000,3052,786029000
2023-07-03,1025,257500,257500,257000,257500,2186,562541000
2023-07-03,1026,257500,257500,257000,257500,910,234046000
2023-07-03,1027,257500,257500,257000,257000,738,189829000
2023-07-03,1028,257500,257500,257000,257000,789,202922000
2023-07-03,1029,257000,257500,257000,257000,779,200310000
2023-07-03,1030,257000,257500,257000,257000,702,180494000
2023-07-03,1031,257000,258000,257000,258000,3823,984269000
2023-07-03,1032,258000,258000,257500,258000,1583,408340000
2023-07-03,1033,258000,258000,257500,257500,4618,1190546000
2023-07-03,1034,258000,258000,257500,258000,581,149818000
2023-07-03,1035,257500,258000,257500,257500,2366,609412000
2023-07-03,1036,257000,258000,257000,258000,2561,659275000
2023-07-03,1037,258000,258500,258000,258500,5886,1519875000
2023-07-03,1038,258000,259000,258000,259000,1201,310610000
2023-07-03,1039,259000,259000,258500,259000,2522,653140000
2023-07-03,1040,259000,259000,258500,259000,1518,393049000
2023-07-03,1041,259000,259000,258500,258500,1840,476530000
2023-07-03,1042,259000,260000,258500,260000,20155,5233557000
2023-07-03,1043,260000,260500,259500,260500,12368,3217021000
2023-07-03,1044,260500,260500,259500,259500,4231,1100277000
2023-07-03,1045,259500,260500,259500,260500,3488,907360000
2023-07-03,1046,260500,261000,259500,259500,3610,939376000
2023-07-03,1047,260000,260000,259000,259500,3027,786091000
2023-07-03,1048,259500,259500,259000,259500,2654,687678000
2023-07-03,1049,259500,259500,258000,258000,4075,1054262000
2023-07-03,1050,258000,259000,258000,258000,2213,571192000
2023-07-03,1051,258500,259000,258000,259000,1857,479848000
2023-07-03,1052,259000,259000,258500,259000,2219,574073000
2023-07-03,1053,258500,258500,258000,258500,2965,766235000
2023-07-03,1054,258000,258500,257500,257500,4000,1031863000
2023-07-03,1055,258000,258000,257500,257500,960,247250000
2023-07-03,1056,258000,258000,257000,257500,2349,604763000
2023-07-03,1057,257500,257500,256500,257000,3015,774878000
2023-07-03,1058,256500,257500,256500,257500,3704,952822000
2023-07-03,1059,257500,258000,257000,257500,1123,289119000
2023-07-03,1100,257500,258000,257000,257500,2089,537933000
2023-07-03,1101,257500,257500,257000,257500,1480,380944000
2023-07-03,1102,257500,258000,257000,258000,558,143677000
2023-07-03,1103,257000,258000,257000,257500,597,153719000
2023-07-03,1104,257500,258000,257000,257500,783,201622000
2023-07-03,1105,257000,258000,257000,257500,685,176368000
2023-07-03,1106,257500,258000,257000,257500,778,200316000
2023-07-03,1107,257500,257500,257000,257000,254,65351000
2023-07-03,1108,257000,258000,257000,257500,1418,365482000
2023-07-03,1109,258000,258500,257500,258500,2134,550853000
2023-07-03,1110,258500,258500,258000,258500,1042,269185000
2023-07-03,1111,258500,258500,258000,258500,817,211193000
2023-07-03,1112,258500,258500,258000,258500,408,105455000
2023-07-03,1113,258500,258500,258000,258500,581,150093000
2023-07-03,1114,258500,258500,258000,258500,539,139308000
2023-07-03,1115,258500,258500,258000,258500,1090,281708000
2023-07-03,1116,258500,258500,258000,258500,443,114495000
2023-07-03,1117,258500,258500,258000,258500,321,82943000
2023-07-03,1118,258500,259000,258500,258500,2197,568641000
2023-07-03,1119,259000,259000,258500,259000,1468,380139000
2023-07-03,1120,259000,259000,258500,259000,799,206788000
2023-07-03,1121,259000,259500,259000,259000,2340,606491000
2023-07-03,1122,259500,259500,259000,259500,1452,376299000
2023-07-03,1123,259000,259500,259000,259000,585,151562000
2023-07-03,1124,259000,259500,259000,259000,330,85531000
2023-07-03,1125,259500,259500,259000,259500,925,239640000
2023-07-03,1126,259500,259500,259000,259500,406,105342000
2023-07-03,1127,259500,259500,259000,259500,1458,378098000
2023-07-03,1128,259000,259500,259000,259500,981,254460000
2023-07-03,1129,259500,259500,259000,259500,330,85571000
2023-07-03,1130,259000,259500,259000,259000,2958,766357000
2023-07-03,1131,259000,259500,258500,258500,469,121476000
2023-07-03,1132,258500,259000,258500,259000,448,115883000
2023-07-03,1133,259000,259000,258500,259000,377,97542000
2023-07-03,1134,259000,259000,258500,259000,461,119217000
2023-07-03,1135,258500,259000,258000,258500,2331,602121000
2023-07-03,1136,258000,259000,258000,258500,1538,397533000
2023-07-03,1137,259000,259000,258500,259000,592,153257000
2023-07-03,1138,259000,259000,258500,258500,198,51262000
2023-07-03,1139,258500,259000,258500,258500,106,27441000
2023-07-03,1140,259000,259000,258500,259000,404,104467000
2023-07-03,1141,258500,259000,258500,258500,3337,862680000
2023-07-03,1142,258500,258500,258000,258500,1165,300630000
2023-07-03,1143,258000,258500,258000,258000,482,124482000
2023-07-03,1144,258500,258500,257500,257500,1632,421202000
2023-07-03,1145,258000,258500,257500,257500,5174,1336982000
2023-07-03,1146,257500,258000,257500,258000,367,94638000
2023-07-03,1147,258000,258000,257500,257500,562,144891000
2023-07-03,1148,257500,258000,257500,258000,2002,516442000
2023-07-03,1149,258000,258500,258000,258000,837,215990000
2023-07-03,1150,258000,258500,258000,258500,239,61705000
2023-07-03,1151,258500,258500,258000,258000,415,107115000
2023-07-03,1152,258000,258500,258000,258500,327,84463000
2023-07-03,1153,258000,258500,258000,258000,373,96313000
2023-07-03,1154,258500,258500,258000,258000,352,90851000
2023-07-03,1155,258000,258500,258000,258000,606,156494000
2023-07-03,1156,258500,258500,258000,258000,397,102451000
2023-07-03,1157,258000,258500,258000,258500,580,149663000
2023-07-03,1158,258000,258500,258000,258000,596,153853000
2023-07-03,1159,258000,259000,258000,258500,3006,776944000
2023-07-03,1200,258500,259500,258500,259000,4701,1217606000
2023-07-03,1201,259500,259500,258500,259500,486,125904000
2023-07-03,1202,259000,259500,258500,258500,690,178544000
2023-07-03,1203,259000,259000,258500,259000,171,44267000
2023-07-03,1204,258500,259000,258500,259000,287,74249000
2023-07-03,1205,258500,259000,258500,258500,722,186837000
2023-07-03,1206,259000,259000,258500,259000,312,80729000
2023-07-03,1207,258500,259500,258500,259500,2420,627212000
2023-07-03,1208,258500,259500,258500,259500,502,130061000
2023-07-03,1209,259500,259500,259000,259000,283,73369000
2023-07-03,1210,259000,259500,259000,259000,1120,290177000
2023-07-03,1211,259000,259500,259000,259000,428,110852000
2023-07-03,1212,259000,259500,257500,258500,11252,2903977000
2023-07-03,1213,258500,259000,257500,258000,4873,1258375000
