dates,ticker,title,link
24-03-06,A005490,포스코그룹 지원 '기업시민경영과 ESG' 운영대학 12개로 확대,https://finance.naver.com/item/news_read.naver?article_id=0014545297&office_id=001&code=005490&page=2&sm=
24-03-06,A005490,포스코그룹 지원 '기업시민경영과 ESG' 운영대학 12개로 확대,https://finance.naver.com/item/news_read.naver?article_id=0014545278&office_id=001&code=005490&page=2&sm=
24-03-06,A005490,"포스코, 올해 12개 대학에 ‘기업시민경영과 ESG’ 과목 개설",https://finance.naver.com/item/news_read.naver?article_id=0002276008&office_id=016&code=005490&page=2&sm=
24-03-06,A005490,"포스코 주총 표대결 양상..글래스루이스 ""장인화 선임 찬성 권고""",https://finance.naver.com/item/news_read.naver?article_id=0005686862&office_id=018&code=005490&page=2&sm=
24-03-06,A005490,“장인화 포스코홀딩스 회장후보 선임 찬성” 글로벌 의결권 자문사 글래...,https://finance.naver.com/item/news_read.naver?article_id=0002276288&office_id=016&code=005490&page=2&sm=
24-03-06,A005490,"자문사 글래스루이스 ""장인화 포스코 차기 회장 선임 찬성""",https://finance.naver.com/item/news_read.naver?article_id=0003333578&office_id=241&code=005490&page=2&sm=
24-03-06,A005490,"""포항-포스코 반목 피로감, 동반성장 지혜 모을 때""",https://finance.naver.com/item/news_read.naver?article_id=0000865951&office_id=088&code=005490&page=2&sm=
24-03-06,A005490,변화·혁신 닻 올리는 포스코…'철의 남자' 7인 출격,https://finance.naver.com/item/news_read.naver?article_id=0000865944&office_id=088&code=005490&page=2&sm=
24-03-06,A005490,"중국 ‘저가 배터리 LFP’, SK와 포스코도 개발한다",https://finance.naver.com/item/news_read.naver?article_id=0002679777&office_id=028&code=005490&page=2&sm=
24-03-06,A005490,"포스코, 중후장대한 산업용 AI로 ‘무인 공정’ 시도",https://finance.naver.com/item/news_read.naver?article_id=0002679774&office_id=028&code=005490&page=2&sm=
24-03-06,A005490,김준형 포스코홀딩스 총괄 “음극재 이익률 낮아…정부서 인센티브 지원해야...,https://finance.naver.com/item/news_read.naver?article_id=0002806565&office_id=119&code=005490&page=2&sm=
24-03-06,A005490,"포항해경, 포스코 혁신활동 배운다",https://finance.naver.com/item/news_read.naver?article_id=0014547009&office_id=001&code=005490&page=3&sm=
24-03-06,A005490,'이차전지 총력' 포스코그룹…자원부터 원료·소재 밸류체인 눈길,https://finance.naver.com/item/news_read.naver?article_id=0000818145&office_id=031&code=005490&page=3&sm=
24-03-06,A005490,"포스코그룹, 이차전지소재 풀 밸류체인 제시",https://finance.naver.com/item/news_read.naver?article_id=0002276214&office_id=016&code=005490&page=3&sm=
24-03-06,A005490,2024 인터배터리 개막식 참석한 김준형 포스코홀딩스 총괄,https://finance.naver.com/item/news_read.naver?article_id=0014546567&office_id=001&code=005490&page=3&sm=
24-03-06,A005490,'포스코그룹의 배터리 기술을 만나다',https://finance.naver.com/item/news_read.naver?article_id=0012410454&office_id=003&code=005490&page=3&sm=
24-03-06,A005490,"[인터배터리]김준형 포스코 친환경미래소재총괄 ""장인화號, 배터리 투자 ...",https://finance.naver.com/item/news_read.naver?article_id=0005388609&office_id=277&code=005490&page=3&sm=
24-03-06,A005490,"김준형 포스코홀딩스 총괄 “장인화 체제, 배터리 투자 속도 변함 없다...",https://finance.naver.com/item/news_read.naver?article_id=0000975588&office_id=366&code=005490&page=3&sm=
24-03-06,A005490,"김준형 포스코 미래소재총괄 ""캐즘에도 고객 주문 줄지 않아""",https://finance.naver.com/item/news_read.naver?article_id=0000986739&office_id=417&code=005490&page=3&sm=
24-03-06,A005490,"김준형 포스코홀딩스 총괄 ""장인화호, 이차전지 투자 속도 조절 없다""",https://finance.naver.com/item/news_read.naver?article_id=0000373305&office_id=374&code=005490&page=3&sm=
24-03-06,A005490,"[인터배터리] 김준형 포스코홀딩스 총괄 ""장인화號, 이차전지 투자 지...",https://finance.naver.com/item/news_read.naver?article_id=0014545865&office_id=001&code=005490&page=3&sm=
24-03-06,A005490,"""투자 속도조절 없다""…포스코 신임 회장, 2차전지 계획은",https://finance.naver.com/item/news_read.naver?article_id=0005008053&office_id=008&code=005490&page=3&sm=
24-03-06,A005490,김준형 포스코홀딩스 총괄 “SK온과는 조율 끝…공급 계약은 포드 상황 ...,https://finance.naver.com/item/news_read.naver?article_id=0003186835&office_id=030&code=005490&page=3&sm=
24-03-06,A005490,김준형 포스코홀딩스 총괄 “장인화號 출범해도 이차전지 투자는 지속…L...,https://finance.naver.com/item/news_read.naver?article_id=0002276340&office_id=016&code=005490&page=3&sm=
24-03-06,A005490,"포스코 ""이차전지 투자 속도 조절 안해...中 LFP 협력 검토""",https://finance.naver.com/item/news_read.naver?article_id=0002323573&office_id=092&code=005490&page=3&sm=
